Class;Caller;Callee;Declared;Called
callgraph.virtualCalls.CallToStringOnInterface;<callgraph.virtualCalls.CallToStringOnInterface: void callToStringOnAlternateBase()>;<callgraph.base.SimpleBase: java.lang.String toString()>;NO;YES
callgraph.virtualCalls.CallToStringOnInterface;<callgraph.virtualCalls.CallToStringOnInterface: void callToStringOnAlternateBase()>;<java.lang.Object: java.lang.String toString()>;YES;YES
callgraph.virtualCalls.CallToStringOnInterface;<callgraph.virtualCalls.CallToStringOnInterface: void callToStringOnConcreteBase()>;<java.lang.Object: java.lang.String toString()>;YES;YES
callgraph.virtualCalls.CallToStringOnInterface;<callgraph.virtualCalls.CallToStringOnInterface: void callToStringOnConcreteBase()>;<callgraph.base.SimpleBase: java.lang.String toString()>;NO;YES
callgraph.virtualCalls.CallToStringOnInterface;<callgraph.virtualCalls.CallToStringOnInterface: void callToStringOnAbstractBase()>;<java.lang.Object: java.lang.String toString()>;YES;YES
callgraph.virtualCalls.CallToStringOnInterface;<callgraph.virtualCalls.CallToStringOnInterface: void callToStringOnAbstractBase()>;<callgraph.base.SimpleBase: java.lang.String toString()>;NO;YES
callgraph.virtualCalls.CallToStringOnInterface;<callgraph.virtualCalls.CallToStringOnInterface: void callToStringOnSimpleBase()>;<java.lang.Object: java.lang.String toString()>;NO;YES
callgraph.virtualCalls.CallToStringOnInterface;<callgraph.virtualCalls.CallToStringOnInterface: void callToStringOnSimpleBase()>;<callgraph.base.SimpleBase: java.lang.String toString()>;YES;YES
callgraph.virtualCalls.CallConcreteObjects;<callgraph.virtualCalls.CallConcreteObjects: void callAbstractMethod()>;<callgraph.base.AlternateBase: void abstractMethod()>;YES;YES
callgraph.virtualCalls.CallConcreteObjects;<callgraph.virtualCalls.CallConcreteObjects: void callAbstractMethod()>;<callgraph.base.SimpleBase: void abstractMethod()>;YES;YES
callgraph.virtualCalls.CallConcreteObjects;<callgraph.virtualCalls.CallConcreteObjects: void callAbstractMethod()>;<callgraph.base.ConcreteBase: void abstractMethod()>;YES;YES
callgraph.virtualCalls.CallConcreteObjects;<callgraph.virtualCalls.CallConcreteObjects: void callImplementedMethod()>;<callgraph.base.AlternateBase: void implementedMethod()>;YES;YES
callgraph.virtualCalls.CallConcreteObjects;<callgraph.virtualCalls.CallConcreteObjects: void callImplementedMethod()>;<callgraph.base.ConcreteBase: void implementedMethod()>;NO;YES
callgraph.virtualCalls.CallConcreteObjects;<callgraph.virtualCalls.CallConcreteObjects: void callImplementedMethod()>;<callgraph.base.AlternateBase: void implementedMethod()>;NO;YES
callgraph.virtualCalls.CallConcreteObjects;<callgraph.virtualCalls.CallConcreteObjects: void callImplementedMethod()>;<callgraph.base.ConcreteBase: void implementedMethod()>;YES;YES
callgraph.virtualCalls.CallConcreteObjects;<callgraph.virtualCalls.CallConcreteObjects: void callImplementedMethod()>;<callgraph.base.SimpleBase: void implementedMethod()>;YES;YES
callgraph.virtualCalls.CallConcreteObjects;<callgraph.virtualCalls.CallConcreteObjects: void callImplementedMethod()>;<callgraph.base.AbstractBase: void implementedMethod()>;YES;YES
callgraph.virtualCalls.CallConcreteObjects;<callgraph.virtualCalls.CallConcreteObjects: void callInterfaceMethod()>;<callgraph.base.SimpleBase: void interfaceMethod()>;YES;YES
callgraph.virtualCalls.CallConcreteObjects;<callgraph.virtualCalls.CallConcreteObjects: void callInterfaceMethod()>;<callgraph.base.AbstractBase: void interfaceMethod()>;YES;YES
